id,question,answer
1,Posso conoscere l'esito delle email inviate?,"Si certamente!. Per inviare le email massime a diversi soggetti la procedura utilizza turboSMTP attraverso il quale l'utente è in grado di sapere se la singola email sia stata inviata, consegnata, aperta, respinta oppure se è in coda. Dal barra del menù l'utente può premere REPORT INVVI per conoscere l'esito di ciascuna email."
2,Come posso reinviare un'email ad un soggetto?,"Premendo sul REPORT INVII e richiamando la spedizione attraverso il filtri presenti nella finestra stessa è possibile inserire/modificare l'email del destinatario e procedere ad un nuovo invio. In questo caso la procedura NON utilizzerà turboSMPT ma invierà l'email dell'indirizzo email dell'amministratore."
3,Come posso vedere eventuali allegati all'email già inviata?,"Premendo sul REPORT INVI  INVII e richiamando la spedizione attraverso il filtri presenti nella finestra la procedura visualizza tutte le email richieste. Premendo il simbolo dell'attach è possibile visualizzare gli allegati trasmessi con l'email."
4,Posso inserire la firma e il logo del mio studio?,"Dal menù principale in altro l'utente deve premere UTENTI e poi IL MIO PROFILO. All'intero della finestra è possibile allegare il file in formato JPEG oppure PNG."
5,Posso impostare più email e pec dello studio in modo da poter decidere da quali di esse inviare la corrispondenza elettronica?,"Certamente si!. La piattaforma è progetta per inserire tutte le email e pec dello studio. In fase di invio massimo l'utente può selezionare l' email e la pec di partenza."
6,Dove configuro le email e le pec?,"Nel  menù principale è presente la sezione CONFIGURAZIONI à Parametri email e pec. L'utente deve inserire i dati delle proprie email e pec con relativa password. Alcuni provider di posta richiedono la generazione di una password differente da quella utilizzata per accedere attraverso il browser. Per la generazione della password (vedi file allegato)"
7,Cosa sono i bollettini digitali e come acquistarli?,"La procedura non ha costi di attivazione e quando vengono generati i documenti di pagamento (avvisi, bollettini postali, bollettini freccia, mav) viene addebitato un documento digitale per ogni documento generato. Nel caso in cui non sia presente un documento di pagamento ma un documento generico (convocazione, verbale, estratto  conto, sollecito, o documenti vari) la procedura addebiterà un documento digitale per ciascun destinatario.   Per comprare i bollettini digitaliè sufficiente premere ORDINI e poi sul simbolo “+”. Dopo aver compilato l'ordine la procedura genera un bollettino 896 per il relativo pagamento. La procedura provvederà ad acquisire il pagamento ed accreditare i bollettini. L'utente potrà verificare il relativo accredito dalla finestra estratto conto oppure potrà consultare i bollettini residui nella finestra “spedizioni”."
8,Come posso impostare i parametri dell'avviso di pagamento?,"Accedendo al menù Configurazionià Parametri avviso l'utente può modificare le coordinate del margine superiore sinistro."
9, Come posso inserire il testo dell'email per l'invio massivo?,"Accedendo al menù Configurazionià Testi personalizzati l'utente può predisporre diversi testi da utilizzare in fase di invio. Premendo il simbolo “+” viene aperta una finestra all'interno della quale è possibile indicare se il testo si riferisce ad all'email o alla pec. Dopo aver inserire il titolo può inserire il testo che verrà aggiunto nel corpo dell'email /pec. E' importante sapere che i testi delle email e delle pec sono gestiti separatamente  e quindi si dovrà creare il testo per l'email ed un altro per la pec."
10,Cos'è l'email evoluta?,"L'email evoluta rappresenta un nuovo strumento per inviare le comunicazioni formali. L'utente può inviare l'email prima di una spedizione cartacea. Il destinatario può ricevere l'email a scaricarne il relativo contenuto entro le 48 ore (o in un tempo differente se concordato con il vettore postale). La piattaforma rileva data ed ora in cui viene scaricato il file. Nel caso in cui ciò non avvenga la procedura trasformerà in automatico le email non “aperte” in corrispondenza cartacea in base a quanto indicato dall'amministratore prima dell'invio delle email."
